,abbreviation,full_name,nick_name,conference,division,city_state_region,season,venue,logo
59,CHI,Chicago Bears,Bears,NFC,NFC_NORTH,Chicago,2004,,CHI_logo.webp
60,CAR,Carolina Panthers,Panthers,NFC,NFC_SOUTH,Carolina,2004,,CAR_logo.webp
61,BUF,Buffalo Bills,Bills,AFC,AFC_EASTERN,Buffalo,2004,,BUF_logo.webp
62,BAL,Baltimore Ravens,Ravens,AFC,AFC_NORTH,Baltimore,2004,,BAL_logo.webp
63,ATL,Atlanta Falcons,Falcons,NFC,NFC_SOUTH,Atlanta,2004,,ATL_logo.webp
64,WAS,Washington Redskins,Redskins,NFC,NFC_EASTERN,Washington,2005,,WAS_logo_old.png
65,TB,Tampa Bay Buccaneers,Buccaneers,NFC,NFC_SOUTH,Tampa Bay,2005,,TB_logo_old.png
66,SEA,Seattle Seahawks,Seahawks,NFC,NFC_WESTERN,Seattle,2005,,SEA_logo_old.png
67,SF,San Francisco 49ers,49ers,NFC,NFC_WESTERN,San Francisco,2005,,SF_logo.webp
68,LAC,San Diego Chargers,Chargers,AFC,AFC_WESTERN,San Diego,2005,,LAC_logo.webp
69,PIT,Pittsburgh Steelers,Steelers,AFC,AFC_NORTH,Pittsburgh,2005,,PIT_logo.webp
70,ARI,Arizona Cardinals,Cardinals,NFC,NFC_WESTERN,Arizona,2005,,ARI_logo.webp
71,PHI,Philadelphia Eagles,Eagles,NFC,NFC_EASTERN,Philadelphia,2005,,PHI_logo.webp
72,NYJ,New York Jets,Jets,AFC,AFC_EASTERN,New York Jets,2005,,NYJ_logo_old.png
73,NYG,New York Giants,Giants,NFC,NFC_EASTERN,New York Giants,2005,,NYG_logo.webp
74,NO,New Orleans Saints,Saints,NFC,NFC_SOUTH,New Orleans,2005,,NO_logo.webp
75,NE,New England Patriots,Patriots,AFC,AFC_EASTERN,New England,2005,,NE_logo.webp
76,MIN,Minnesota Vikings,Vikings,NFC,NFC_NORTH,Minnesota,2005,,MIN_logo.webp
77,MIA,Miami Dolphins,Dolphins,AFC,AFC_EASTERN,Miami,2005,,MIA_logo_old.png
78,LV,Oakland Raiders,Raiders,AFC,AFC_WESTERN,Oakland,2005,,LV_logo.webp
79,LA,St. Louis Rams,Rams,NFC,NFC_WESTERN,St. Louis,2005,,LA_logo.webp
80,KC,Kansas City Chiefs,Chiefs,AFC,AFC_WESTERN,Kansas City,2005,,KC_logo.webp
81,JAX,Jacksonville Jaguars,Jaguars,AFC,AFC_SOUTH,Jacksonville,2005,,JAX_logo_old.png
82,IND,Indianapolis Colts,Colts,AFC,AFC_SOUTH,Indianapolis,2005,,IND_logo.webp
83,HOU,Houston Texans,Texans,AFC,AFC_SOUTH,Houston,2005,,HOU_logo.webp
84,TEN,Tennessee Titans,Titans,AFC,AFC_SOUTH,Tennessee,2005,,TEN_logo.webp
85,GB,Green Bay Packers,Packers,NFC,NFC_NORTH,Green Bay,2005,,GB_logo.webp
86,DET,Detroit Lions,Lions,NFC,NFC_NORTH,Detroit,2005,,DET_logo.webp
87,DEN,Denver Broncos,Broncos,AFC,AFC_WESTERN,Denver,2005,,DEN_logo.webp
88,DAL,Dallas Cowboys,Cowboys,NFC,NFC_EASTERN,Dallas,2005,,DAL_logo.webp
89,CLE,Cleveland Browns,Browns,AFC,AFC_NORTH,Cleveland,2005,,CLE_logo.webp
90,CIN,Cincinnati Bengals,Bengals,AFC,AFC_NORTH,Cincinnati,2005,,CIN_logo.webp
91,CHI,Chicago Bears,Bears,NFC,NFC_NORTH,Chicago,2005,,CHI_logo.webp
92,CAR,Carolina Panthers,Panthers,NFC,NFC_SOUTH,Carolina,2005,,CAR_logo.webp
93,BUF,Buffalo Bills,Bills,AFC,AFC_EASTERN,Buffalo,2005,,BUF_logo.webp
94,BAL,Baltimore Ravens,Ravens,AFC,AFC_NORTH,Baltimore,2005,,BAL_logo.webp
95,ATL,Atlanta Falcons,Falcons,NFC,NFC_SOUTH,Atlanta,2005,,ATL_logo.webp
96,WAS,Washington Redskins,Redskins,NFC,NFC_EASTERN,Washington,2006,,WAS_logo_old.png
97,TB,Tampa Bay Buccaneers,Buccaneers,NFC,NFC_SOUTH,Tampa Bay,2006,,TB_logo_old.png
98,SEA,Seattle Seahawks,Seahawks,NFC,NFC_WESTERN,Seattle,2006,,SEA_logo_old.png
99,SF,San Francisco 49ers,49ers,NFC,NFC_WESTERN,San Francisco,2006,,SF_logo.webp
100,LAC,San Diego Chargers,Chargers,AFC,AFC_WESTERN,San Diego,2006,,LAC_logo.webp
101,PIT,Pittsburgh Steelers,Steelers,AFC,AFC_NORTH,Pittsburgh,2006,,PIT_logo.webp
102,ARI,Arizona Cardinals,Cardinals,NFC,NFC_WESTERN,Arizona,2006,,ARI_logo.webp
103,PHI,Philadelphia Eagles,Eagles,NFC,NFC_EASTERN,Philadelphia,2006,,PHI_logo.webp
104,NYJ,New York Jets,Jets,AFC,AFC_EASTERN,New York Jets,2006,,NYJ_logo_old.png
105,NYG,New York Giants,Giants,NFC,NFC_EASTERN,New York Giants,2006,,NYG_logo.webp
106,NO,New Orleans Saints,Saints,NFC,NFC_SOUTH,New Orleans,2006,,NO_logo.webp
107,NE,New England Patriots,Patriots,AFC,AFC_EASTERN,New England,2006,,NE_logo.webp
108,MIN,Minnesota Vikings,Vikings,NFC,NFC_NORTH,Minnesota,2006,,MIN_logo.webp
