,abbreviation,full_name,nick_name,conference,division,city_state_region,season,venue
2,WAS,Washington Redskins,Redskins,NFC,NFC_EAST,Washington,2017,
3,TB,Tampa Bay Buccaneers,Buccaneers,NFC,NFC_SOUTH,Tampa Bay,2017,
4,SEA,Seattle Seahawks,Seahawks,NFC,NFC_WEST,Seattle,2017,
5,SF,San Francisco 49ers,49ers,NFC,NFC_WEST,San Francisco,2017,
6,LAC,Los Angeles Chargers,Chargers,AFC,AFC_WEST,Los Angeles Chargers,2017,
7,PIT,Pittsburgh Steelers,Steelers,AFC,AFC_NORTH,Pittsburgh,2017,
8,ARI,Arizona Cardinals,Cardinals,NFC,NFC_WEST,Arizona,2017,
9,PHI,Philadelphia Eagles,Eagles,NFC,NFC_EAST,Philadelphia,2017,
10,NYJ,New York Jets,Jets,AFC,AFC_EAST,New York Jets,2017,
11,NYG,New York Giants,Giants,NFC,NFC_EAST,New York Giants,2017,
12,NO,New Orleans Saints,Saints,NFC,NFC_SOUTH,New Orleans,2017,
13,NE,New England Patriots,Patriots,AFC,AFC_EAST,New England,2017,
14,MIN,Minnesota Vikings,Vikings,NFC,NFC_NORTH,Minnesota,2017,
15,MIA,Miami Dolphins,Dolphins,AFC,AFC_EAST,Miami,2017,
16,LV,Oakland Raiders,Raiders,AFC,AFC_WEST,Oakland,2017,
17,LA,Los Angeles Rams,Rams,NFC,NFC_WEST,Los Angeles Rams,2017,
18,KC,Kansas City Chiefs,Chiefs,AFC,AFC_WEST,Kansas City,2017,
19,JAX,Jacksonville Jaguars,Jaguars,AFC,AFC_SOUTH,Jacksonville,2017,
20,IND,Indianapolis Colts,Colts,AFC,AFC_SOUTH,Indianapolis,2017,
21,HOU,Houston Texans,Texans,AFC,AFC_SOUTH,Houston,2017,
22,TEN,Tennessee Titans,Titans,AFC,AFC_SOUTH,Tennessee,2017,
23,GB,Green Bay Packers,Packers,NFC,NFC_NORTH,Green Bay,2017,
24,DET,Detroit Lions,Lions,NFC,NFC_NORTH,Detroit,2017,
25,DEN,Denver Broncos,Broncos,AFC,AFC_WEST,Denver,2017,
26,DAL,Dallas Cowboys,Cowboys,NFC,NFC_EAST,Dallas,2017,
27,CLE,Cleveland Browns,Browns,AFC,AFC_NORTH,Cleveland,2017,
28,CIN,Cincinnati Bengals,Bengals,AFC,AFC_NORTH,Cincinnati,2017,
29,CHI,Chicago Bears,Bears,NFC,NFC_NORTH,Chicago,2017,
30,CAR,Carolina Panthers,Panthers,NFC,NFC_SOUTH,Carolina,2017,
31,BUF,Buffalo Bills,Bills,AFC,AFC_EAST,Buffalo,2017,
32,BAL,Baltimore Ravens,Ravens,AFC,AFC_NORTH,Baltimore,2017,
33,ATL,Atlanta Falcons,Falcons,NFC,NFC_SOUTH,Atlanta,2017,
