,abbreviation,full_name,nick_name,conference,division,city_state_region,season,venue,logo
2,WAS,Washington Redskins,Redskins,NFC,NFC_EAST,Washington,2019,FedExField,WAS_logo.webp
3,TB,Tampa Bay Buccaneers,Buccaneers,NFC,NFC_SOUTH,Tampa Bay,2019,Raymond James Stadium,TB_logo.webp
4,SEA,Seattle Seahawks,Seahawks,NFC,NFC_WEST,Seattle,2019,CenturyLink Field,SEA_logo.webp
5,SF,San Francisco 49ers,49ers,NFC,NFC_WEST,San Francisco,2019,Levi's® Stadium,SF_logo.webp
6,LAC,Los Angeles Chargers,Chargers,AFC,AFC_WEST,Los Angeles Chargers,2019,ROKiT Field at Dignity Health Sports Park,LAC_logo.webp
7,PIT,Pittsburgh Steelers,Steelers,AFC,AFC_NORTH,Pittsburgh,2019,Heinz Field,PIT_logo.webp
8,ARI,Arizona Cardinals,Cardinals,NFC,NFC_WEST,Arizona,2019,State Farm Stadium,ARI_logo.webp
9,PHI,Philadelphia Eagles,Eagles,NFC,NFC_EAST,Philadelphia,2019,Lincoln Financial Field,PHI_logo.webp
10,NYJ,New York Jets,Jets,AFC,AFC_EAST,New York Jets,2019,MetLife Stadium,NYJ_logo.webp
11,NYG,New York Giants,Giants,NFC,NFC_EAST,New York Giants,2019,MetLife Stadium,NYG_logo.png
12,NO,New Orleans Saints,Saints,NFC,NFC_SOUTH,New Orleans,2019,Mercedes-Benz Superdome,NO_logo.webp
13,NE,New England Patriots,Patriots,AFC,AFC_EAST,New England,2019,Gillette Stadium,NE_logo.webp
14,MIN,Minnesota Vikings,Vikings,NFC,NFC_NORTH,Minnesota,2019,U.S. Bank Stadium,MIN_logo.webp
15,MIA,Miami Dolphins,Dolphins,AFC,AFC_EAST,Miami,2019,Hard Rock Stadium,MIA_logo.webp
16,LV,Oakland Raiders,Raiders,AFC,AFC_WEST,Oakland,2019,Oakland-Alameda County Coliseum,LV_logo.webp
17,LA,Los Angeles Rams,Rams,NFC,NFC_WEST,Los Angeles Rams,2019,Los Angeles Memorial Coliseum,LA_logo.webp
18,KC,Kansas City Chiefs,Chiefs,AFC,AFC_WEST,Kansas City,2019,Arrowhead Stadium,KC_logo.webp
19,JAX,Jacksonville Jaguars,Jaguars,AFC,AFC_SOUTH,Jacksonville,2019,TIAA Bank Field,JAX_logo.webp
20,IND,Indianapolis Colts,Colts,AFC,AFC_SOUTH,Indianapolis,2019,Lucas Oil Stadium,IND_logo.webp
21,HOU,Houston Texans,Texans,AFC,AFC_SOUTH,Houston,2019,NRG Stadium,HOU_logo.webp
22,TEN,Tennessee Titans,Titans,AFC,AFC_SOUTH,Tennessee,2019,Nissan Stadium,TEN_logo.webp
23,GB,Green Bay Packers,Packers,NFC,NFC_NORTH,Green Bay,2019,Lambeau Field,GB_logo.webp
24,DET,Detroit Lions,Lions,NFC,NFC_NORTH,Detroit,2019,Ford Field,DET_logo.webp
25,DEN,Denver Broncos,Broncos,AFC,AFC_WEST,Denver,2019,Empower Field at Mile High,DEN_logo.webp
26,DAL,Dallas Cowboys,Cowboys,NFC,NFC_EAST,Dallas,2019,AT&T Stadium,DAL_logo.webp
27,CLE,Cleveland Browns,Browns,AFC,AFC_NORTH,Cleveland,2019,FirstEnergy Stadium,CLE_logo.webp
28,CIN,Cincinnati Bengals,Bengals,AFC,AFC_NORTH,Cincinnati,2019,Paul Brown Stadium,CIN_logo.webp
29,CHI,Chicago Bears,Bears,NFC,NFC_NORTH,Chicago,2019,Soldier Field,CHI_logo.webp
30,CAR,Carolina Panthers,Panthers,NFC,NFC_SOUTH,Carolina,2019,Bank of America Stadium,CAR_logo.webp
31,BUF,Buffalo Bills,Bills,AFC,AFC_EAST,Buffalo,2019,New Era Field,BUF_logo.webp
32,BAL,Baltimore Ravens,Ravens,AFC,AFC_NORTH,Baltimore,2019,M&T Bank Stadium,BAL_logo.webp
33,ATL,Atlanta Falcons,Falcons,NFC,NFC_SOUTH,Atlanta,2019,Mercedes-Benz Stadium,ATL_logo.webp
