,abbreviation,full_name,nick_name,conference,division,city_state_region,season,venue
2,WAS,Washington Redskins,Redskins,NFC,NFC_EASTERN,Washington,2009,
3,TB,Tampa Bay Buccaneers,Buccaneers,NFC,NFC_SOUTH,Tampa Bay,2009,
4,SEA,Seattle Seahawks,Seahawks,NFC,NFC_WESTERN,Seattle,2009,
5,SF,San Francisco 49ers,49ers,NFC,NFC_WESTERN,San Francisco,2009,
6,LAC,San Diego Chargers,Chargers,AFC,AFC_WESTERN,San Diego,2009,
7,PIT,Pittsburgh Steelers,Steelers,AFC,AFC_NORTH,Pittsburgh,2009,
8,ARI,Arizona Cardinals,Cardinals,NFC,NFC_WESTERN,Arizona,2009,
9,PHI,Philadelphia Eagles,Eagles,NFC,NFC_EASTERN,Philadelphia,2009,
10,NYJ,New York Jets,Jets,AFC,AFC_EASTERN,New York Jets,2009,
11,NYG,New York Giants,Giants,NFC,NFC_EASTERN,New York Giants,2009,
12,NO,New Orleans Saints,Saints,NFC,NFC_SOUTH,New Orleans,2009,
13,NE,New England Patriots,Patriots,AFC,AFC_EASTERN,New England,2009,
14,MIN,Minnesota Vikings,Vikings,NFC,NFC_NORTH,Minnesota,2009,
15,MIA,Miami Dolphins,Dolphins,AFC,AFC_EASTERN,Miami,2009,
16,LV,Oakland Raiders,Raiders,AFC,AFC_WESTERN,Oakland,2009,
17,LA,St. Louis Rams,Rams,NFC,NFC_WESTERN,St. Louis,2009,
18,KC,Kansas City Chiefs,Chiefs,AFC,AFC_WESTERN,Kansas City,2009,
19,JAX,Jacksonville Jaguars,Jaguars,AFC,AFC_SOUTH,Jacksonville,2009,
20,IND,Indianapolis Colts,Colts,AFC,AFC_SOUTH,Indianapolis,2009,
21,HOU,Houston Texans,Texans,AFC,AFC_SOUTH,Houston,2009,
22,TEN,Tennessee Titans,Titans,AFC,AFC_SOUTH,Tennessee,2009,
23,GB,Green Bay Packers,Packers,NFC,NFC_NORTH,Green Bay,2009,
24,DET,Detroit Lions,Lions,NFC,NFC_NORTH,Detroit,2009,
25,DEN,Denver Broncos,Broncos,AFC,AFC_WESTERN,Denver,2009,
26,DAL,Dallas Cowboys,Cowboys,NFC,NFC_EASTERN,Dallas,2009,
27,CLE,Cleveland Browns,Browns,AFC,AFC_NORTH,Cleveland,2009,
28,CIN,Cincinnati Bengals,Bengals,AFC,AFC_NORTH,Cincinnati,2009,
29,CHI,Chicago Bears,Bears,NFC,NFC_NORTH,Chicago,2009,
30,CAR,Carolina Panthers,Panthers,NFC,NFC_SOUTH,Carolina,2009,
31,BUF,Buffalo Bills,Bills,AFC,AFC_EASTERN,Buffalo,2009,
32,BAL,Baltimore Ravens,Ravens,AFC,AFC_NORTH,Baltimore,2009,
33,ATL,Atlanta Falcons,Falcons,NFC,NFC_SOUTH,Atlanta,2009,
