,abbreviation,full_name,nick_name,conference,division,city_state_region,season,venue,logo
2,WAS,Washington Redskins,Redskins,NFC,NFC_EASTERN,Washington,2013,,WAS_logo_old.png
3,TB,Tampa Bay Buccaneers,Buccaneers,NFC,NFC_SOUTH,Tampa Bay,2013,,TB_logo.webp
4,SEA,Seattle Seahawks,Seahawks,NFC,NFC_WESTERN,Seattle,2013,,SEA_logo.webp
5,SF,San Francisco 49ers,49ers,NFC,NFC_WESTERN,San Francisco,2013,,SF_logo.webp
6,LAC,San Diego Chargers,Chargers,AFC,AFC_WESTERN,San Diego,2013,,LAC_logo.webp
7,PIT,Pittsburgh Steelers,Steelers,AFC,AFC_NORTH,Pittsburgh,2013,,PIT_logo.webp
8,ARI,Arizona Cardinals,Cardinals,NFC,NFC_WESTERN,Arizona,2013,,ARI_logo.webp
9,PHI,Philadelphia Eagles,Eagles,NFC,NFC_EASTERN,Philadelphia,2013,,PHI_logo.webp
10,NYJ,New York Jets,Jets,AFC,AFC_EASTERN,New York Jets,2013,,NYJ_logo_old.png
11,NYG,New York Giants,Giants,NFC,NFC_EASTERN,New York Giants,2013,,NYG_logo.png
12,NO,New Orleans Saints,Saints,NFC,NFC_SOUTH,New Orleans,2013,,NO_logo.webp
13,NE,New England Patriots,Patriots,AFC,AFC_EASTERN,New England,2013,,NE_logo.webp
14,MIN,Minnesota Vikings,Vikings,NFC,NFC_NORTH,Minnesota,2013,,MIN_logo.webp
15,MIA,Miami Dolphins,Dolphins,AFC,AFC_EASTERN,Miami,2013,,MIA_logo.webp
16,LV,Oakland Raiders,Raiders,AFC,AFC_WESTERN,Oakland,2013,,LV_logo.webp
17,LA,St. Louis Rams,Rams,NFC,NFC_WESTERN,St. Louis,2013,,LA_logo_old.png
18,KC,Kansas City Chiefs,Chiefs,AFC,AFC_WESTERN,Kansas City,2013,,KC_logo.webp
19,JAX,Jacksonville Jaguars,Jaguars,AFC,AFC_SOUTH,Jacksonville,2013,,JAX_logo.webp
20,IND,Indianapolis Colts,Colts,AFC,AFC_SOUTH,Indianapolis,2013,,IND_logo.webp
21,HOU,Houston Texans,Texans,AFC,AFC_SOUTH,Houston,2013,,HOU_logo.webp
22,TEN,Tennessee Titans,Titans,AFC,AFC_SOUTH,Tennessee,2013,,TEN_logo.webp
23,GB,Green Bay Packers,Packers,NFC,NFC_NORTH,Green Bay,2013,,GB_logo.webp
24,DET,Detroit Lions,Lions,NFC,NFC_NORTH,Detroit,2013,,DET_logo.webp
25,DEN,Denver Broncos,Broncos,AFC,AFC_WESTERN,Denver,2013,,DEN_logo.webp
26,DAL,Dallas Cowboys,Cowboys,NFC,NFC_EASTERN,Dallas,2013,,DAL_logo.webp
27,CLE,Cleveland Browns,Browns,AFC,AFC_NORTH,Cleveland,2013,,CLE_logo.webp
28,CIN,Cincinnati Bengals,Bengals,AFC,AFC_NORTH,Cincinnati,2013,,CIN_logo.webp
29,CHI,Chicago Bears,Bears,NFC,NFC_NORTH,Chicago,2013,,CHI_logo.webp
30,CAR,Carolina Panthers,Panthers,NFC,NFC_SOUTH,Carolina,2013,,CAR_logo.webp
31,BUF,Buffalo Bills,Bills,AFC,AFC_EASTERN,Buffalo,2013,,BUF_logo.webp
32,BAL,Baltimore Ravens,Ravens,AFC,AFC_NORTH,Baltimore,2013,,BAL_logo.webp
33,ATL,Atlanta Falcons,Falcons,NFC,NFC_SOUTH,Atlanta,2013,,ATL_logo.webp
