,abbreviation,full_name,nick_name,conference,division,city_state_region,season,venue,logo
2,WAS,Washington Commanders,Commanders,NFC,NFC_EAST,Washington,2022,FedExField,WAS_logo.webp
3,TB,Tampa Bay Buccaneers,Buccaneers,NFC,NFC_SOUTH,Tampa Bay,2022,Raymond James Stadium,TB_logo.webp
4,SEA,Seattle Seahawks,Seahawks,NFC,NFC_WEST,Seattle,2022,CenturyLink Field,SEA_logo.webp
5,SF,San Francisco 49ers,49ers,NFC,NFC_WEST,San Francisco,2022,Levi's® Stadium,SF_logo.webp
6,LAC,Los Angeles Chargers,Chargers,AFC,AFC_WEST,L.A. Chargers,2022,SoFi Stadium,LAC_logo.webp
7,PIT,Pittsburgh Steelers,Steelers,AFC,AFC_NORTH,Pittsburgh,2022,Heinz Field,PIT_logo.webp
8,ARI,Arizona Cardinals,Cardinals,NFC,NFC_WEST,Arizona,2022,State Farm Stadium,ARI_logo.webp
9,PHI,Philadelphia Eagles,Eagles,NFC,NFC_EAST,Philadelphia,2022,Lincoln Financial Field,PHI_logo.webp
10,NYJ,New York Jets,Jets,AFC,AFC_EAST,N.Y. Jets,2022,MetLife Stadium,NYJ_logo.webp
11,NYG,New York Giants,Giants,NFC,NFC_EAST,N.Y. Giants,2022,MetLife Stadium,NYG_logo.webp
12,NO,New Orleans Saints,Saints,NFC,NFC_SOUTH,New Orleans,2022,Caesars Superdome,NO_logo.webp
13,NE,New England Patriots,Patriots,AFC,AFC_EAST,New England,2022,Gillette Stadium,NE_logo.webp
14,MIN,Minnesota Vikings,Vikings,NFC,NFC_NORTH,Minnesota,2022,U.S. Bank Stadium,MIN_logo.webp
15,MIA,Miami Dolphins,Dolphins,AFC,AFC_EAST,Miami,2022,Hard Rock Stadium,MIA_logo.webp
16,LV,Las Vegas Raiders,Raiders,AFC,AFC_WEST,Las Vegas,2022,Allegiant Stadium,LV_logo.webp
17,LA,Los Angeles Rams,Rams,NFC,NFC_WEST,L.A. Rams,2022,SoFi Stadium,LA_logo.webp
18,KC,Kansas City Chiefs,Chiefs,AFC,AFC_WEST,Kansas City,2022,GEHA Field at Arrowhead Stadium,KC_logo.webp
19,JAX,Jacksonville Jaguars,Jaguars,AFC,AFC_SOUTH,Jacksonville,2022,TIAA Bank Field,JAX_logo.webp
20,IND,Indianapolis Colts,Colts,AFC,AFC_SOUTH,Indianapolis,2022,Lucas Oil Stadium,IND_logo.webp
21,HOU,Houston Texans,Texans,AFC,AFC_SOUTH,Houston,2022,NRG Stadium,HOU_logo.webp
22,TEN,Tennessee Titans,Titans,AFC,AFC_SOUTH,Tennessee,2022,Nissan Stadium,TEN_logo.webp
23,GB,Green Bay Packers,Packers,NFC,NFC_NORTH,Green Bay,2022,Lambeau Field,GB_logo.webp
24,DET,Detroit Lions,Lions,NFC,NFC_NORTH,Detroit,2022,Ford Field,DET_logo.webp
25,DEN,Denver Broncos,Broncos,AFC,AFC_WEST,Denver,2022,Empower Field at Mile High,DEN_logo.webp
26,DAL,Dallas Cowboys,Cowboys,NFC,NFC_EAST,Dallas,2022,AT&T Stadium,DAL_logo.webp
27,CLE,Cleveland Browns,Browns,AFC,AFC_NORTH,Cleveland,2022,FirstEnergy Stadium,CLE_logo.webp
28,CIN,Cincinnati Bengals,Bengals,AFC,AFC_NORTH,Cincinnati,2022,Paul Brown Stadium,CIN_logo.webp
29,CHI,Chicago Bears,Bears,NFC,NFC_NORTH,Chicago,2022,Soldier Field,CHI_logo.webp
30,CAR,Carolina Panthers,Panthers,NFC,NFC_SOUTH,Carolina,2022,Bank of America Stadium,CAR_logo.webp
31,BUF,Buffalo Bills,Bills,AFC,AFC_EAST,Buffalo,2022,Highmark Stadium,BUF_logo.webp
32,BAL,Baltimore Ravens,Ravens,AFC,AFC_NORTH,Baltimore,2022,M&T Bank Stadium,BAL_logo.webp
33,ATL,Atlanta Falcons,Falcons,NFC,NFC_SOUTH,Atlanta,2022,Mercedes-Benz Stadium,ATL_logo.webp
